선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
에반 믹,AAA,2014,41.667,41.667,2.268,2.494,-0.225,3.1323
브룩스 레일리,MLB,2012,24.333,24.333,6.875,6.875,0.0,3.0945
브룩스 레일리,MLB,2013,14.0,14.0,5.048,5.048,0.0,3.0479
브룩스 레일리,AAA,2012,82.0,82.0,3.655,4.229,-0.573,3.0945
브룩스 레일리,AAA,2013,141.333,141.333,3.982,4.504,-0.522,3.0479
조쉬 린드블럼,MLB,2011,29.667,29.667,2.351,2.351,0.0,3.0254
조쉬 린드블럼,MLB,2012,71.0,71.0,5.151,5.151,0.0,3.0945
조쉬 린드블럼,MLB,2013,31.333,31.333,4.42,4.42,0.0,3.0479
조쉬 린드블럼,MLB,2014,4.667,4.667,6.989,6.989,0.0,3.1323
조쉬 린드블럼,AAA,2009,39.0,39.0,3.405,3.78,-0.375,3.0971
조쉬 린드블럼,AAA,2010,95.0,95.0,4.183,4.688,-0.505,3.0778
조쉬 린드블럼,AAA,2013,108.0,108.0,4.085,4.607,-0.522,3.0479
조쉬 린드블럼,AAA,2014,84.0,84.0,4.287,4.855,-0.568,3.1323
에스밀 로저스,MLB,2009,4.0,4.0,3.097,3.097,0.0,3.0971
에스밀 로저스,MLB,2010,72.0,72.0,3.439,3.439,-0.0,3.0778
에스밀 로저스,MLB,2011,83.0,83.0,5.616,5.616,0.0,3.0254
에스밀 로저스,MLB,2012,78.667,78.667,3.476,3.476,0.0,3.0945
에스밀 로저스,MLB,2013,137.667,137.667,4.726,4.726,0.0,3.0479
에스밀 로저스,MLB,2014,45.667,45.667,4.731,4.731,0.0,3.1323
에스밀 로저스,AAA,2009,60.667,60.667,5.388,5.763,-0.375,3.0971
에스밀 로저스,AAA,2010,61.0,61.0,3.75,4.255,-0.505,3.0778
에스밀 로저스,AAA,2011,23.0,23.0,4.33,5.088,-0.758,3.0254
에스밀 로저스,AAA,2014,48.667,48.667,3.214,3.44,-0.225,3.1323
재크 스튜어트,MLB,2011,67.333,67.333,4.704,4.704,0.0,3.0254
재크 스튜어트,MLB,2012,35.667,35.667,7.552,7.552,0.0,3.0945
재크 스튜어트,AAA,2011,6.333,6.333,1.446,1.658,-0.211,3.0254
재크 스튜어트,AAA,2012,59.333,59.333,3.802,3.869,-0.067,3.0945
재크 스튜어트,AAA,2013,167.333,167.333,3.514,3.671,-0.157,3.0479
재크 스튜어트,AAA,2014,106.0,106.0,3.859,4.084,-0.225,3.1323
앤드루 시스코,MLB,2005,75.333,75.333,3.79,3.79,-0.0,3.02
앤드루 시스코,MLB,2006,58.333,58.333,5.255,5.255,-0.0,3.1467
앤드루 시스코,MLB,2007,14.0,14.0,5.811,5.811,-0.0,3.2396
앤드루 시스코,AAA,2006,4.667,4.667,4.004,4.173,-0.169,3.1467
앤드루 시스코,AAA,2007,78.667,78.667,4.752,4.665,0.087,3.2396
필 어윈,MLB,2013,4.667,4.667,3.905,3.905,0.0,3.0479
필 어윈,MLB,2014,4.0,4.0,7.632,7.632,0.0,3.1323
필 어윈,AAA,2012,21.0,21.0,2.19,2.257,-0.067,3.0945
필 어윈,AAA,2013,10.0,10.0,2.948,3.105,-0.157,3.0479
메릴 켈리,AAA,2013,84.667,84.667,3.32,3.477,-0.157,3.0479
메릴 켈리,AAA,2014,114.0,114.0,3.509,3.735,-0.225,3.1323
콜린 벨레스터,MLB,2008,80.0,80.0,5.107,5.107,-0.0,3.132
콜린 벨레스터,MLB,2009,30.333,30.333,7.449,7.449,0.0,3.0971
콜린 벨레스터,MLB,2010,21.0,21.0,3.506,3.506,-0.0,3.0778
콜린 벨레스터,MLB,2011,35.667,35.667,4.932,4.932,0.0,3.0254
콜린 벨레스터,MLB,2012,18.0,18.0,7.706,7.706,0.0,3.0945
콜린 벨레스터,MLB,2015,15.667,15.667,6.644,6.644,0.0,3.1336
콜린 벨레스터,AAA,2007,51.667,51.667,3.956,3.869,0.087,3.2396
콜린 벨레스터,AAA,2008,78.667,78.667,4.848,5.039,-0.191,3.132
콜린 벨레스터,AAA,2009,107.333,107.333,3.582,3.634,-0.052,3.0971
콜린 벨레스터,AAA,2010,69.0,69.0,4.6,4.777,-0.177,3.0778
콜린 벨레스터,AAA,2011,39.333,39.333,2.568,2.779,-0.211,3.0254
콜린 벨레스터,AAA,2012,47.0,47.0,4.073,4.14,-0.067,3.0945
콜린 벨레스터,AAA,2013,27.0,27.0,4.678,5.199,-0.522,3.0479
앨런 웹스터,MLB,2013,30.333,30.333,6.509,6.509,0.0,3.0479
앨런 웹스터,MLB,2014,59.0,59.0,4.353,4.353,0.0,3.1323
앨런 웹스터,MLB,2015,31.0,31.0,8.359,8.359,0.0,3.1336
앨런 웹스터,AAA,2013,105.0,105.0,3.638,3.795,-0.157,3.0479
앨런 웹스터,AAA,2014,122.0,122.0,3.657,3.882,-0.225,3.1323
앨런 웹스터,AAA,2015,77.0,77.0,4.004,4.47,-0.466,3.1336
아놀드 레온,MLB,2015,26.667,26.667,4.184,4.184,0.0,3.1336
아놀드 레온,AAA,2006,3.333,3.333,3.747,4.082,-0.335,3.1467
아놀드 레온,AAA,2007,41.667,41.667,3.84,4.073,-0.233,3.2396
아놀드 레온,AAA,2008,14.667,14.667,0.677,0.913,-0.236,3.132
아놀드 레온,AAA,2012,35.667,35.667,4.244,4.817,-0.573,3.0945
아놀드 레온,AAA,2013,71.333,71.333,3.076,3.598,-0.522,3.0479
아놀드 레온,AAA,2014,145.0,145.0,3.622,4.19,-0.568,3.1323
아놀드 레온,AAA,2015,58.0,58.0,3.892,4.358,-0.466,3.1336
요한 플란데,MLB,2014,59.0,59.0,3.997,3.997,0.0,3.1323
요한 플란데,MLB,2015,68.333,68.333,5.68,5.68,0.0,3.1336
요한 플란데,AAA,2011,137.0,137.0,3.281,3.492,-0.211,3.0254
요한 플란데,AAA,2012,147.667,147.667,3.846,3.913,-0.067,3.0945
요한 플란데,AAA,2013,131.333,131.333,3.68,3.837,-0.157,3.0479
요한 플란데,AAA,2014,88.333,88.333,4.129,4.697,-0.568,3.1323
요한 플란데,AAA,2015,31.667,31.667,6.481,6.947,-0.466,3.1336
데이비드 허프,MLB,2009,128.333,128.333,4.687,4.687,0.0,3.0971
