선수명,status,url,n_seasons_pre_kbo,tried_n
드류 앤더슨,matched,http://www.claydavenport.com/pt/A/ANDERSON19940322A.shtml,17,
엔마누엘 데 헤이수스,matched,http://www.claydavenport.com/pt/D/DEJESUS19961210A.shtml,17,
콜 어빈,matched,http://www.claydavenport.com/pt/I/IRVIN19940131A.shtml,18,
잭 로그,matched,http://www.claydavenport.com/pt/L/LOGUE19960423A.shtml,21,
헤르손 가라비토,matched,http://www.claydavenport.com/pt/G/GARABITO19950819A.shtml,12,
요니 치리노스,matched,http://www.claydavenport.com/pt/C/CHIRINOS19931226A.shtml,24,
앤더스 톨허스트,matched,http://www.claydavenport.com/pt/T/TOLHURST19990913A.shtml,7,
애덤 올러,matched,http://www.claydavenport.com/pt/O/OLLER19941017A.shtml,20,
터커 데이비드슨,matched,http://www.claydavenport.com/pt/D/DAVIDSON19960325A.shtml,15,
빈스 벨라스케즈,matched,http://www.claydavenport.com/pt/V/VELASQUEZ19920607A.shtml,26,
알렉 감보아,matched,http://www.claydavenport.com/pt/G/GAMBOA19970117A.shtml,6,
코디 폰세,matched,http://www.claydavenport.com/pt/P/PONCE19940425A.shtml,16,
로건 앨런,matched,http://www.claydavenport.com/pt/A/ALLEN19970523A.shtml,24,
라일리 톰프슨,matched,http://www.claydavenport.com/pt/T/THOMPSON19960709A.shtml,8,
패트릭 머피,matched,http://www.claydavenport.com/pt/M/MURPHY19950610A.shtml,18,
미치 화이트,matched,http://www.claydavenport.com/pt/W/WHITE19941228A.shtml,27,
라클란 웰스,matched,http://www.claydavenport.com/pt/W/WELLS19970227A.shtml,12,
C.C 메르세데스,unresolved,,,8
제이콥 터너,matched_corrected_birthyear,http://www.claydavenport.com/pt/T/TURNER19910521A.shtml,24,
케니 로젠버그,matched_corrected_birthyear,http://www.claydavenport.com/pt/R/ROSENBERG19950709A.shtml,18,
